id,stationName,stationPosX,stationPosY,lines,connectedStations,changeLineDistenceInfos
133,서울역,197155.4142,450581.8317,1&4,시청/회현/숙대입구,1to4-159
132,시청,197570.0065,451570.3932,1&2,서울역/종각/충정로/을지로입구,1to2-101
131,종각,198244.9992,452301.488,1,시청/종로3가,
130,종로3가,199020.4997,452470.0424,1&3&5,종각/종로5가/안국/을지로3가/광화문/을지로4가,1to3-118/1to5-312/3to5-117
129,종로5가,199913.4378,452387.8921,1,종로3가/동대문,
128,동대문,200566.1451,452387.9257,1&4,종로5가/동묘앞/혜화/동대문역사문화공원,1to4-194
127,동묘앞,201198.4966,452636.5657,1&6,동대문/신설동/창신/신당,1to6-96
126,신설동,201912.9288,452951.8526,1&2,동묘앞/제기동/용두,1to2-159
125,제기동,202820.7432,453186.2655,1,신설동/청량리,
124,청량리,203723.2149,453405.2404,1,제기동,
202,을지로입구,198207.8136,451838.7771,2,시청/을지로3가,
203,을지로3가,198946.246,451866.408,2&3,을지로입구/을지로4가/종로3가/충무로,2to3-149
204,을지로4가,199567.1972,451906.3133,2&5,을지로3가/동대문역사문화공원/종로3가,2to5-77
205,동대문역사문화공원,200214.6531,451691.0502,2&4&5,을지로4가/신당/동대문/충무로/청구,2to4-45/2to5-234/4to5-107
206,신당,201451.2589,451795.5078,2&6,동대문역사문화공원/상왕십리/동묘앞/청구,2to6-242
207,상왕십리,202337.2445,451657.0256,2,신당/왕십리,
208,왕십리,203043.9944,451392.0679,2&5,상왕십리/한양대/행당/마장,2to5-86
209,한양대,203601.7199,450646.6297,2,왕십리/뚝섬,
210,뚝섬,203930.7952,449750.2031,2,한양대/성수,
211,성수,204689.0178,449460.9997,2,뚝섬/건대입구/용답,
212,건대입구,206019.9456,449042.4468,2&7,성수/구의/뚝섬유원지/어린이대공원,2to7-77
213,구의,207335.9801,448630.7514,2,건대입구/강변,
214,강변,208112.0273,448411.7833,2,구의/잠실나루,
215,잠실나루,208916.1302,446819.1969,2,강변/잠실,
216,잠실,208968.1347,446144.6002,2&8,잠실나루/신천/몽촌토성/석촌,2to8-190
217,신천,207363.2912,445801.2234,2,잠실/종합운동장,
218,종합운동장,206255.7732,445738.1526,2,신천/삼성,
219,삼성,205332.2133,445503.3575,2,종합운동장/선릉,
220,선릉,204004.7605,444987.7169,2,삼성/역삼,
221,역삼,202966.193,444583.3555,2,선릉/강남,
222,강남,202202.4495,444287.9414,2,역삼/교대,
223,교대,201040.8186,443842.7305,2&3,강남/서초/고속터미널/남부터미널,2to3-75
224,서초,200444.0423,443611.8625,2,교대/방배,
225,방배,199532.4306,442453.3997,2,서초/사당,
226,사당,198120.114,441907.6346,2&4,방배/낙성대/총신대입구/남태령,2to4-74
227,낙성대,196511.5158,441970.2555,2,사당/서울대입구,
228,서울대입구,195565.5095,442432.2859,2,낙성대/봉천,
229,봉천,194605.2508,442559.3278,2,서울대입구/신림,
230,신림,193526.5886,442764.2425,2,봉천/신대방,
231,신대방,192053.7482,443116.1252,2,신림/구로디지털단지,
232,구로디지털단지,191026.9253,442883.0154,2,신대방/대림,
233,대림,190453.1663,443771.3388,2&7,구로디지털단지/신도림/신풍/남구로,2to7-276
234,신도림,190091.8782,445566.0167,2,대림/문래/도림천,
235,문래,190441.2201,446508.7989,2,신도림/영등포구청,
236,영등포구청,190466.7502,447204.5073,2&5,문래/당산/영등포시장/양평,2to5-110
237,당산,191090.9336,448267.9641,2,영등포구청/합정,
238,합정,192101.6456,449949.1666,2&6,당산/홍대입구/망원/상수,2to6-82
